iter	Passed	Remaining
0	1	180
1	3	176
2	4	157
3	5	135
4	6	126
5	7	122
6	9	122
7	11	137
8	13	133
9	15	138
10	16	135
11	18	134
12	19	131
13	20	126
14	21	123
15	23	123
16	25	122
17	26	121
18	28	120
19	29	116
20	30	113
21	32	115
22	33	112
23	34	110
24	36	108
25	37	106
26	38	104
27	39	102
28	41	100
29	42	98
30	44	99
31	46	99
32	48	97
33	49	96
34	51	95
35	52	94
36	54	93
37	56	91
38	57	89
39	58	87
40	60	86
41	61	84
42	64	85
43	65	83
44	67	82
45	68	80
46	70	79
47	71	77
48	72	75
49	73	73
50	75	72
51	76	70
52	77	68
53	79	67
54	80	65
55	82	64
56	83	62
57	85	61
58	86	60
59	88	59
60	91	58
61	92	56
62	93	55
63	94	53
64	96	52
65	98	50
66	99	48
67	100	47
68	102	45
69	103	44
70	104	42
71	106	41
72	107	39
73	108	38
74	109	36
75	112	35
76	113	34
77	115	32
78	116	31
79	118	29
80	119	28
81	120	26
82	122	25
83	123	23
84	125	22
85	126	20
86	127	19
87	129	17
88	130	16
89	131	14
90	133	13
91	134	11
92	135	10
93	137	8
94	138	7
95	139	5
96	141	4
97	142	2
98	144	1
99	145	0
