iter	Passed	Remaining
0	141	140948
1	142	71092
2	143	47847
3	145	36297
4	146	29216
5	147	24477
6	148	21095
7	149	18578
8	150	16598
9	151	15020
10	152	13742
11	154	12710
12	155	11797
13	157	11069
14	158	10383
15	159	9826
16	160	9295
17	161	8832
18	162	8389
19	164	8041
20	165	7700
21	166	7383
22	167	7103
23	168	6856
24	169	6613
25	170	6388
26	171	6168
27	172	5976
28	173	5809
29	174	5655
30	176	5511
31	177	5361
32	178	5230
33	180	5115
34	181	4993
35	181	4871
36	183	4779
37	184	4673
38	185	4581
39	186	4483
40	187	4389
41	188	4303
42	189	4219
43	190	4146
44	192	4077
45	193	4006
46	194	3936
47	194	3867
48	197	3831
49	198	3767
50	199	3707
51	200	3651
52	201	3599
53	202	3544
54	203	3503
55	205	3458
56	206	3411
57	207	3372
58	208	3324
59	209	3279
60	210	3241
61	211	3195
62	212	3154
63	213	3120
64	214	3084
65	215	3046
66	216	3011
67	217	2982
68	218	2948
69	219	2914
70	220	2883
71	221	2853
72	223	2835
73	224	2804
74	225	2777
75	226	2750
76	227	2721
77	228	2699
78	229	2676
79	230	2648
80	231	2621
81	232	2606
82	233	2578
83	234	2560
84	235	2536
85	236	2513
86	238	2504
87	239	2485
88	240	2463
89	241	2442
90	242	2423
91	243	2405
92	246	2400
93	247	2385
94	249	2372
95	250	2356
96	251	2337
97	252	2321
98	253	2306
99	254	2291
100	257	2288
101	258	2273
102	259	2256
103	260	2241
104	261	2227
105	262	2212
106	263	2195
107	264	2181
108	265	2167
109	266	2153
110	267	2143
111	268	2129
112	269	2117
113	271	2106
114	271	2092
115	272	2076
116	273	2060
117	274	2049
118	275	2037
119	276	2027
120	277	2017
121	278	2004
122	279	1992
123	280	1980
124	281	1968
125	282	1962
126	283	1951
127	285	1947
128	286	1935
129	288	1930
130	289	1918
131	291	1916
132	292	1905
133	293	1895
134	294	1886
135	295	1878
136	296	1867
137	297	1857
138	299	1852
139	299	1840
140	301	1837
141	302	1826
142	303	1818
143	304	1809
144	305	1801
145	308	1802
146	309	1794
147	310	1788
148	311	1778
149	313	1775
150	314	1767
151	315	1759
152	317	1755
153	318	1750
154	319	1742
155	320	1736
156	322	1729
157	323	1723
158	324	1718
159	326	1713
160	327	1704
161	328	1701
162	330	1695
163	331	1687
164	332	1680
165	332	1672
166	333	1663
167	334	1657
168	335	1650
169	338	1650
170	339	1644
171	340	1640
172	342	1635
173	343	1628
174	343	1621
175	344	1614
176	346	1609
177	347	1605
178	349	1601
179	349	1594
180	351	1591
181	354	1592
182	355	1588
183	357	1585
184	359	1581
185	360	1576
186	361	1572
187	362	1566
188	363	1560
189	364	1554
190	365	1549
191	367	1546
192	368	1542
193	370	1540
194	372	1536
195	373	1532
196	374	1527
197	375	1521
198	376	1516
199	377	1510
200	379	1506
201	380	1501
202	380	1495
203	381	1488
204	382	1482
205	383	1479
206	384	1473
207	386	1471
208	387	1466
209	388	1463
210	390	1458
211	391	1454
212	392	1449
213	393	1444
214	394	1441
215	396	1438
216	397	1432
217	398	1430
218	399	1425
219	400	1421
220	402	1417
221	404	1416
222	405	1411
223	406	1409
224	408	1406
225	408	1400
226	410	1398
227	412	1397
228	413	1393
229	414	1388
230	415	1383
231	416	1379
232	417	1375
233	419	1373
234	420	1369
235	423	1370
236	424	1366
237	425	1361
238	426	1357
239	427	1352
240	429	1351
241	430	1349
242	432	1346
243	433	1342
244	434	1337
245	435	1334
246	437	1335
247	439	1332
248	440	1328
249	441	1325
250	442	1321
251	444	1318
252	446	1318
253	447	1314
254	448	1311
255	449	1307
256	450	1303
257	452	1301
258	453	1297
259	454	1294
260	456	1291
261	456	1286
262	457	1281
263	458	1279
264	459	1274
265	461	1272
266	462	1269
267	463	1265
268	464	1261
269	465	1259
270	466	1255
271	467	1251
272	468	1248
273	469	1244
274	470	1240
275	471	1237
276	472	1232
277	472	1228
278	474	1227
279	475	1223
280	477	1221
281	478	1217
282	479	1214
283	479	1210
284	480	1206
285	482	1203
286	484	1203
287	485	1200
288	486	1197
289	487	1193
290	489	1193
291	492	1194
292	493	1191
293	494	1187
294	495	1183
295	496	1181
296	498	1179
297	499	1176
298	501	1175
299	503	1174
300	504	1171
301	505	1167
302	506	1164
303	507	1161
304	508	1157
305	525	1190
306	526	1187
307	527	1184
308	528	1181
309	529	1177
310	530	1174
311	531	1171
312	532	1168
313	534	1166
314	535	1163
315	536	1161
316	538	1160
317	543	1164
318	546	1167
319	548	1165
320	549	1162
321	550	1159
322	552	1158
323	553	1154
324	554	1151
325	557	1152
326	563	1159
327	564	1157
328	565	1153
329	566	1150
330	567	1146
331	568	1142
332	569	1139
333	569	1135
334	571	1134
335	572	1131
336	573	1129
337	574	1125
338	575	1122
339	576	1118
340	577	1116
341	578	1112
342	579	1109
343	580	1106
344	581	1103
345	582	1100
346	582	1096
347	583	1093
348	585	1091
349	586	1089
350	588	1087
351	590	1087
352	591	1084
353	592	1081
354	593	1079
355	594	1076
356	596	1074
357	599	1075
358	600	1071
359	601	1068
360	602	1066
361	603	1063
362	604	1061
363	605	1058
364	606	1055
365	607	1052
366	608	1049
367	609	1046
368	610	1044
369	611	1041
370	612	1039
371	614	1036
372	615	1035
373	622	1042
374	623	1039
375	624	1037
376	626	1035
377	627	1032
378	628	1029
379	629	1026
380	629	1023
381	631	1020
382	632	1018
383	633	1015
384	634	1013
385	636	1013
386	637	1010
387	639	1007
388	640	1006
389	641	1003
390	643	1001
391	644	999
392	645	996
393	646	993
394	647	991
395	647	988
396	648	985
397	650	983
398	651	981
399	652	978
400	653	976
401	654	973
402	655	970
403	656	967
404	656	965
405	658	963
406	661	963
407	663	962
408	664	960
409	665	958
410	666	955
411	667	953
412	668	950
413	670	949
414	671	946
415	672	943
416	672	940
417	673	938
418	674	935
419	675	933
420	676	930
421	677	928
422	680	927
423	681	926
424	682	923
425	683	920
426	684	918
427	684	915
428	685	912
429	686	910
430	687	907
431	687	904
432	688	902
433	689	899
434	690	896
435	691	894
436	692	892
437	693	889
438	694	887
439	695	885
440	696	882
441	697	880
442	698	877
443	699	876
444	700	873
445	701	871
446	702	869
447	703	866
448	704	864
449	705	862
450	719	875
451	720	873
452	721	871
453	722	869
454	723	867
455	724	864
456	726	863
457	727	860
458	728	858
459	729	856
460	730	854
461	733	854
462	734	852
463	736	850
464	737	848
465	739	847
466	740	844
467	741	842
468	742	840
469	743	837
470	745	837
471	746	834
472	747	833
473	748	830
474	749	828
475	750	825
476	751	823
477	751	821
478	752	818
479	753	816
480	754	814
481	755	812
482	756	809
483	757	807
484	758	805
485	759	803
486	760	801
487	761	798
488	762	796
489	762	793
490	763	791
491	764	789
492	767	788
493	768	786
494	768	784
495	769	781
496	770	779
497	771	777
498	772	775
499	772	772
500	774	771
501	775	768
502	775	766
503	776	764
504	777	762
505	778	759
506	791	770
507	793	768
508	795	767
509	796	765
510	797	763
511	798	761
512	800	760
513	802	758
514	802	756
515	806	756
516	807	754
517	808	752
518	809	750
519	811	748
520	812	747
521	813	745
522	814	742
523	815	740
524	816	738
525	817	736
526	818	735
527	819	732
528	820	730
529	823	730
530	824	728
531	825	725
532	826	723
533	826	721
534	827	719
535	828	717
536	829	715
537	830	712
538	831	711
539	832	709
540	833	707
541	834	705
542	835	703
543	836	701
544	837	699
545	838	697
546	839	695
547	840	693
548	841	691
549	842	688
550	842	686
551	843	684
552	844	682
553	845	680
554	847	679
555	849	678
556	850	676
557	851	674
558	852	672
559	853	670
560	854	668
561	855	666
562	856	664
563	857	663
564	858	660
565	859	658
566	860	656
567	860	654
568	861	652
569	862	650
570	864	649
571	865	647
572	866	645
573	867	643
574	872	644
575	873	642
576	874	640
577	875	638
578	875	636
579	876	635
580	877	632
581	878	631
582	891	637
583	893	636
584	894	634
585	895	632
586	896	630
587	897	628
588	898	626
589	898	624
590	899	622
591	900	620
592	901	618
593	903	617
594	905	616
595	906	614
596	908	613
597	908	611
598	910	609
599	911	607
600	913	606
601	914	604
602	915	602
603	916	600
604	917	598
605	918	596
606	919	595
607	920	593
608	921	591
609	922	589
610	923	587
611	924	586
612	925	584
613	927	582
614	927	580
615	928	578
616	929	577
617	930	575
618	932	574
619	933	572
620	935	571
621	937	569
622	939	568
623	940	566
624	940	564
625	942	563
626	944	562
627	945	560
628	946	558
629	947	556
630	948	554
631	949	552
632	950	550
633	951	549
634	952	547
635	953	545
636	954	543
637	956	542
638	957	541
639	958	539
640	959	537
641	960	535
642	960	533
643	962	532
644	963	530
645	964	528
646	964	526
647	966	524
648	967	523
649	968	521
650	969	519
651	972	518
652	973	517
653	973	515
654	974	513
655	974	511
656	975	509
657	976	507
658	977	505
659	978	504
660	979	502
661	980	500
662	981	499
663	983	497
664	984	495
665	985	494
666	986	492
667	987	490
668	988	488
669	989	487
670	990	485
671	991	483
672	992	482
673	993	480
674	994	478
675	995	477
676	996	475
677	997	473
678	998	471
679	999	470
680	1000	468
681	1002	467
682	1003	465
683	1005	464
684	1006	462
685	1007	461
686	1008	459
687	1009	457
688	1010	456
689	1011	454
690	1012	452
691	1012	450
692	1013	449
693	1015	447
694	1016	445
695	1017	444
696	1017	442
697	1018	440
698	1019	438
699	1020	437
700	1021	435
701	1022	434
702	1023	432
703	1024	430
704	1025	428
705	1026	427
706	1027	425
707	1028	424
708	1029	422
709	1030	420
710	1031	419
711	1032	417
712	1033	416
713	1034	414
714	1035	412
715	1035	410
716	1036	409
717	1037	407
718	1038	405
719	1039	404
720	1040	402
721	1041	401
722	1042	399
723	1043	397
724	1044	396
725	1045	394
726	1046	392
727	1047	391
728	1048	389
729	1049	388
730	1050	386
731	1051	384
732	1054	383
733	1057	383
734	1058	381
735	1059	380
736	1060	378
737	1061	376
738	1062	375
739	1063	373
740	1064	371
741	1064	370
742	1066	368
743	1067	367
744	1068	365
745	1069	363
746	1069	362
747	1070	360
748	1071	359
749	1072	357
750	1073	355
751	1075	354
752	1075	352
753	1077	351
754	1077	349
755	1078	348
756	1079	346
757	1080	344
758	1081	343
759	1082	341
760	1083	340
761	1083	338
762	1084	336
763	1085	335
764	1086	333
765	1103	337
766	1104	335
767	1105	333
768	1106	332
769	1107	330
770	1107	329
771	1108	327
772	1109	325
773	1110	324
774	1111	322
775	1112	321
776	1113	319
777	1114	317
778	1114	316
779	1115	314
780	1116	313
781	1117	311
782	1119	310
783	1119	308
784	1120	306
785	1122	305
786	1123	304
787	1124	302
788	1126	301
789	1127	299
790	1128	298
791	1129	296
792	1130	295
793	1131	293
794	1132	292
795	1133	290
796	1134	288
797	1135	287
798	1136	285
799	1138	284
800	1138	282
801	1139	281
802	1141	279
803	1142	278
804	1143	276
805	1144	275
806	1146	274
807	1147	272
808	1148	271
809	1149	269
810	1150	268
811	1153	267
812	1154	265
813	1155	264
814	1156	262
815	1157	261
816	1158	259
817	1159	257
818	1160	256
819	1161	255
820	1162	253
821	1163	252
822	1165	250
823	1166	249
824	1167	247
825	1168	246
826	1169	244
827	1170	243
828	1172	241
829	1173	240
830	1174	238
831	1175	237
832	1176	235
833	1177	234
834	1178	232
835	1179	231
836	1180	229
837	1181	228
838	1182	226
839	1184	225
840	1185	224
841	1186	222
842	1187	221
843	1188	219
844	1189	218
845	1190	216
846	1191	215
847	1192	213
848	1193	212
849	1193	210
850	1194	209
851	1196	207
852	1196	206
853	1197	204
854	1198	203
855	1199	201
856	1200	200
857	1201	198
858	1202	197
859	1204	196
860	1205	194
861	1206	193
862	1207	191
863	1208	190
864	1209	188
865	1211	187
866	1211	185
867	1212	184
868	1213	182
869	1214	181
870	1216	180
871	1216	178
872	1217	177
873	1218	175
874	1219	174
875	1220	172
876	1221	171
877	1222	169
878	1223	168
879	1224	167
880	1225	165
881	1226	164
882	1227	162
883	1228	161
884	1229	159
885	1232	158
886	1234	157
887	1235	155
888	1236	154
889	1237	152
890	1238	151
891	1239	150
892	1240	148
893	1241	147
894	1242	145
895	1243	144
896	1244	142
897	1244	141
898	1246	140
899	1247	138
900	1249	137
901	1250	135
902	1251	134
903	1251	132
904	1252	131
905	1253	130
906	1254	128
907	1255	127
908	1256	125
909	1257	124
910	1258	122
911	1258	121
912	1259	120
913	1260	118
